"","mRNA","logFC","FDR","Delta","Tumor","Normal","start","end","diff_exp","gene"
"ENSG00000164129","ENSG00000164129",3.07465580395881,2.20352219805886e-05,36.3102209229421,11.8095238095238,76.25,163343892,163351934,"UP","NPY5R"
"ENSG00000233392","ENSG00000233392",4.20111462523274,4.58152142367867e-10,36.0095539305663,8.57142857142857,167,240954617,240967451,"UP","UICLM"
"ENSG00000274272","ENSG00000274272",2.38420080921143,0.00259930201687157,35.9900788819059,15.0952380952381,67,100572232,100578700,"UP","ENSG00000274272"
"ENSG00000233093","ENSG00000233093",2.54076866663084,0.000940870383476324,35.9337282852077,14.1428571428571,61.5,136639539,136642429,"UP","LINC00892"
"ENSG00000237484","ENSG00000237484",3.31449457721967,3.11403416461176e-06,35.5124418987822,10.7142857142857,81.25,24306939,24547942,"UP","LINC01684"
"ENSG00000232613","ENSG00000232613",3.14161854397116,1.43049461023687e-05,35.4554092819602,11.2857142857143,75,65030727,65053017,"UP","LINC02576"
"ENSG00000166426","ENSG00000166426",2.75662469757419,0.000257352464155251,35.4423175402396,12.8571428571429,75.5,78340353,78348225,"UP","CRABP1"
"ENSG00000159387","ENSG00000159387",2.6811661898491,0.00037274415107372,35.1105096289763,13.0952380952381,66.25,55324203,55330756,"UP","IRX6"
"ENSG00000235532","ENSG00000235532",2.67901379030378,0.000398792708670563,34.4444630181915,12.8571428571429,62.5,74231457,74259976,"UP","LINC00402"
"ENSG00000188375","ENSG00000188375",2.7899702836685,0.000188409376612605,34.1439220429907,12.2380952380952,64.5,31791185,31792298,"UP","H3-5"
"ENSG00000286004","ENSG00000286004",2.97547976878502,5.04507783941176e-05,34.0054830718287,11.4285714285714,64.75,195900986,195903417,"UP","ENSG00000286004"
"ENSG00000170454","ENSG00000170454",2.92747802540049,6.63774739725486e-05,33.8751028653485,11.5714285714286,100.75,52424070,52434371,"UP","KRT75"
"ENSG00000179088","ENSG00000179088",3.27997818415237,4.36024267611544e-06,33.2683501535455,10.1428571428571,77.25,103237591,103495978,"UP","C12orf42"
"ENSG00000154025","ENSG00000154025",2.82176782022775,0.000161320929401625,33.1893643617264,11.7619047619048,64.25,18950345,19022595,"UP","SLC5A10"
"ENSG00000086288","ENSG00000086288",2.37051629974269,0.00273124626359583,32.3970560964834,13.6666666666667,62.75,37848597,37900397,"UP","NME8"
"ENSG00000134571","ENSG00000134571",2.30309555657688,0.00415687768538901,32.0239953581166,13.9047619047619,55.25,47331406,47352702,"UP","MYBPC3"
"ENSG00000256069","ENSG00000256069",2.35613271963839,0.00301067078031153,31.9760869093782,13.5714285714286,53.5,9228533,9275817,"UP","ENSG00000256069"
"ENSG00000227155","ENSG00000227155",2.32479222147208,0.00358110327205798,31.7721603601185,13.6666666666667,51.75,452492,492248,"UP","LOC124902108"
"ENSG00000186583","ENSG00000186583",3.16244683383169,1.24738059624393e-05,30.7209121000792,9.71428571428571,72.75,144012280,144047114,"UP","SPATC1"
"ENSG00000124721","ENSG00000124721",2.53992441813937,0.00104492016044053,30.4790930176724,12,50.25,38715311,39030792,"UP","DNAH8"
"ENSG00000285420","ENSG00000285420",3.22965166958572,6.77890012077501e-06,30.297208519447,9.38095238095238,60.75,151173981,151180617,"UP","PDGFRL2P"
"ENSG00000070915","ENSG00000070915",3.11051878097299,2.07811829970527e-05,30.0683482160722,9.66666666666667,62,56865207,56915850,"UP","SLC12A3"
"ENSG00000183072","ENSG00000183072",4.04411654421404,2.30444113082154e-09,29.6568546575696,7.33333333333333,95.75,173232109,173235311,"UP","NKX2-5"
"ENSG00000180509","ENSG00000180509",2.31337746977156,0.00375360752191396,29.5231029475609,12.7619047619048,57.75,34446688,34512210,"UP","KCNE1"
"ENSG00000126838","ENSG00000126838",2.34197700545387,0.00334583065764277,29.4419966399916,12.5714285714286,49.25,9148840,9208395,"UP","PZP"
"ENSG00000241666","ENSG00000241666",2.74733553788735,0.000282648949953173,28.6507848951109,10.4285714285714,59.25,167627385,167630674,"UP","ENSG00000241666"
"ENSG00000265096","ENSG00000265096",3.24384744815542,7.27782516099553e-06,27.4954688462698,8.47619047619048,67,79018131,79027673,"UP","ENSG00000265096"
"ENSG00000262312","ENSG00000262312",2.63271108080947,0.000617617315538239,27.3300483626888,10.3809523809524,46.75,3542739,3545785,"UP","ENSG00000262312"
"ENSG00000269553","ENSG00000269553",5.2604015474892,5.0353134929015e-16,27.3039889845868,5.19047619047619,143.25,35330843,35331920,"UP","ENSG00000269553"
"ENSG00000163218","ENSG00000163218",3.19947400167522,1.04640004161742e-05,27.2717069666602,8.52380952380952,86,153330120,153348841,"UP","PGLYRP4"
"ENSG00000248115","ENSG00000248115",4.08375300452214,1.72155339204774e-09,27.0305556013609,6.61904761904762,84.5,52945649,52958087,"UP","ENSG00000248115"
"ENSG00000174680","ENSG00000174680",2.17704095003542,0.00833675468234841,26.9538403337719,12.3809523809524,56.5,29748175,29764002,"UP","ENSG00000174680"
"ENSG00000283403","ENSG00000283403",2.18051172226903,0.00794232135673301,26.6853101249114,12.2380952380952,59.5,28435388,28727680,"UP","LOC100420587"
"ENSG00000227954","ENSG00000227954",2.37413002928476,0.00291532062177595,26.680699376724,11.2380952380952,44.75,133502252,133892802,"UP","TARID"
"ENSG00000198106","ENSG00000198106",2.61553441114367,0.000718937608051256,26.6535411421307,10.1904761904762,52.5,29291220,29372110,"UP","ENSG00000198106"
"ENSG00000158578","ENSG00000158578",3.13313450568922,1.6282853675037e-05,26.5570448577467,8.47619047619048,71.5,55009055,55030977,"UP","ALAS2"
"ENSG00000170486","ENSG00000170486",4.494796512438,1.52945139318042e-11,26.5407032163006,5.90476190476191,112,52585589,52601538,"UP","KRT72"
"ENSG00000182333","ENSG00000182333",5.41470381584152,2.19517524591585e-16,26.0421469238092,4.80952380952381,389.75,88664441,88678814,"UP","LIPF"
"ENSG00000171611","ENSG00000171611",2.49327680794161,0.00142905962158034,26.0013152828196,10.4285714285714,53.5,42915989,42925838,"UP","PTCRA"
"ENSG00000164047","ENSG00000164047",3.17409035785129,1.33614777705828e-05,25.543870022708,8.04761904761905,63,48223347,48225491,"UP","CAMP"
"ENSG00000188011","ENSG00000188011",2.33750390299288,0.00356809459343855,25.4899235135891,10.9047619047619,41.25,241869600,241873823,"UP","RTP5"
"ENSG00000226945","ENSG00000226945",2.34102647692759,0.00340992172887786,25.1939039897921,10.7619047619048,40,206907619,206908229,"UP","ENSG00000226945"
"ENSG00000170054","ENSG00000170054",4.89737101542208,8.79905596674672e-14,25.186479507885,5.14285714285714,124.75,94462717,94479689,"UP","SERPINA9"
"ENSG00000231105","ENSG00000231105",2.19498949030027,0.00793682980356642,25.0855941748602,11.4285714285714,42,21293290,21299874,"UP","ECE1-AS1"
"ENSG00000262488","ENSG00000262488",3.00806583814452,4.83014027907481e-05,25.067215317871,8.33333333333333,53.5,10840384,10841544,"UP","ENSG00000262488"
"ENSG00000251320","ENSG00000251320",3.05781907125261,3.13859717698458e-05,25.0449942978785,8.19047619047619,71.75,147887112,147887704,"UP","ENSG00000251320"
"ENSG00000153303","ENSG00000153303",2.7926745153421,0.000220878031955109,24.8681016366178,8.90476190476191,44.75,168053166,168101511,"UP","FRMD1"
"ENSG00000220412","ENSG00000220412",2.64578281480597,0.000556679710803522,24.6939729381891,9.33333333333333,57,137705423,137707201,"UP","ENSG00000220412"
"ENSG00000261218","ENSG00000261218",2.56599062163673,0.000962373703810908,24.6823859795533,9.61904761904762,44.75,81738248,81767868,"UP","ENSG00000261218"
"ENSG00000236700","ENSG00000236700",2.58220746684334,0.000772886903194297,24.223565284197,9.38095238095238,52.25,134343307,134504581,"UP","LINC01010"
"ENSG00000225079","ENSG00000225079",2.61610415886757,0.000675055986863954,24.1678193723957,9.23809523809524,43.75,116775104,116775623,"UP","FTH1P22"
"ENSG00000206172","ENSG00000206172",3.88845504077453,1.4699952146528e-08,24.0713883476519,6.19047619047619,83.5,176680,177522,"UP","HBA1"
"ENSG00000226942","ENSG00000226942",3.29174707926194,6.02808212931716e-06,23.6692289985025,7.19047619047619,61,29336,38321,"UP","ENSG00000226942"
"ENSG00000286042","ENSG00000286042",2.44715794420153,0.00198519891304449,23.5393287966052,9.61904761904762,46.25,79307669,79313384,"UP","LCAL1"
"ENSG00000174255","ENSG00000174255",2.90940571571672,9.77936258552471e-05,23.1367025964139,7.95238095238095,44.25,114234631,114237578,"UP","ZNF80"
"ENSG00000181800","ENSG00000181800",3.31451707116104,3.74962850025693e-06,22.8859512056357,6.90476190476191,49,11316833,11319884,"UP","CELF2-AS1"
"ENSG00000248290","ENSG00000248290",3.26411621551616,8.22089181450043e-06,22.6933794031124,6.95238095238095,61.75,32008614,32012472,"UP","ENSG00000248290"
"ENSG00000189430","ENSG00000189430",3.63348003683325,2.66956739839223e-07,22.6659945154836,6.23809523809524,56.75,54906148,54916140,"UP","NCR1"
"ENSG00000251623","ENSG00000251623",2.18380335603199,0.0085044835676984,22.461977376329,10.2857142857143,36.5,176119545,176156937,"UP","ENSG00000251623"
"ENSG00000141096","ENSG00000141096",2.28214742849979,0.00501033535042592,22.2781058496408,9.76190476190476,35.5,67975663,67980549,"UP","DPEP3"
"ENSG00000272211","ENSG00000272211",2.76485021388142,0.000292329897713029,22.1188017110513,8,41.25,196151263,196154881,"UP","ENSG00000272211"
"ENSG00000111732","ENSG00000111732",4.34700994530631,9.25816915590637e-11,21.7350497265316,5,72.5,8602170,8612867,"UP","AICDA"
"ENSG00000234965","ENSG00000234965",3.1622959172571,1.71295583277272e-05,21.081972781714,6.66666666666667,49,41909554,41914667,"UP","SHISA8"
"ENSG00000145107","ENSG00000145107",2.94965947474858,7.33763952680837e-05,21.0689962482041,7.14285714285714,52.75,196319342,196338503,"UP","TM4SF19"
"ENSG00000132681","ENSG00000132681",2.1764768141349,0.00886940568494676,20.8319923638626,9.57142857142857,34.25,160151586,160186980,"UP","ATP1A4"
"ENSG00000279149","ENSG00000279149",2.55221661332577,0.00110785499078849,20.7823352799384,8.14285714285714,34.75,30344672,30347167,"UP","ENSG00000279149"
"ENSG00000204020","ENSG00000204020",2.41010644205759,0.00258843223408025,20.6580552176365,8.57142857142857,37.5,88759982,88779626,"UP","LIPN"
"ENSG00000280435","ENSG00000280435",2.2897626246623,0.00484495975581541,20.3897909910404,8.90476190476191,33.75,44115818,44117487,"UP","ENSG00000280435"
"ENSG00000260653","ENSG00000260653",2.40156486278372,0.0027821943035323,20.1274007547588,8.38095238095238,38.25,57404172,57419535,"UP","MIR3147HG"
"ENSG00000112486","ENSG00000112486",2.59245972599958,0.000919838060724832,20.1224254922825,7.76190476190476,36.5,167111807,167139696,"UP","CCR6"
"ENSG00000278124","ENSG00000278124",2.23476740022843,0.00641090241166866,20.1129066020559,9,39.75,22010650,22010946,"UP","RN7SL186P"
"ENSG00000274767","ENSG00000274767",2.54252938280372,0.00116893278304827,19.8559437514195,7.80952380952381,39.5,36183235,36196471,"UP","ENSG00000274767"
"ENSG00000178772","ENSG00000178772",3.13683145179401,2.29419120914854e-05,19.7172262684195,6.28571428571429,46,194339768,194351328,"UP","CPN2"
"ENSG00000276557","ENSG00000276557",2.16577190635019,0.00945065607797824,19.6982111482327,9.09523809523809,31.5,142615716,142616415,"UP","TRBV18"
"ENSG00000256128","ENSG00000256128",2.51292851055256,0.00148866680650427,19.6247750347914,7.80952380952381,36.75,126729787,126772519,"UP","ENSG00000256128"
"ENSG00000285492","ENSG00000285492",2.4385707036932,0.00210987043268735,19.6246880440071,8.04761904761905,45,159051674,159121495,"UP","LOC112267968"
"ENSG00000181074","ENSG00000181074",3.23398519818414,1.02637594309268e-05,19.5579104842565,6.04761904761905,42.5,5754243,5755905,"UP","OR52N4"
"ENSG00000226822","ENSG00000226822",2.47410124359393,0.00189866682820947,19.4393669139523,7.85714285714286,40.25,108040263,108076020,"UP","ENSG00000226822"
"ENSG00000170819","ENSG00000170819",4.19262552391226,8.11800538690781e-10,19.1662881093132,4.57142857142857,67.75,133400056,133475222,"UP","BFSP2"
"ENSG00000240522","ENSG00000240522",2.79070316356655,0.000260760001028091,19.1362502644563,6.85714285714286,36,21149648,21150438,"UP","RPL7AP10"
"ENSG00000141161","ENSG00000141161",2.38475717906266,0.0030284435510461,18.850937701162,7.90476190476191,28.75,35147817,35189345,"UP","UNC45B"
"ENSG00000267432","ENSG00000267432",3.35480262154535,3.54520179866763e-06,18.8507956829691,5.61904761904762,60.75,78484882,78503056,"UP","ENSG00000267432"
"ENSG00000197549","ENSG00000197549",4.54522901216535,1.52045869555887e-11,18.3973555254312,4.04761904761905,79.25,21991099,22043934,"UP","ENSG00000197549"
"ENSG00000225885","ENSG00000225885",2.70811804438502,0.000470435386700627,18.3120363001273,6.76190476190476,35.5,118282139,118400605,"UP","ENSG00000225885"
"ENSG00000236935","ENSG00000236935",2.23330407368263,0.00704234737507711,18.2918238415911,8.19047619047619,30.25,64325050,64329504,"UP","LOC102723878"
"ENSG00000242797","ENSG00000242797",2.23405200514994,0.00679325425409249,18.0851828988328,8.09523809523809,34.25,52288580,52299067,"UP","ENSG00000242797"
"ENSG00000241743","ENSG00000241743",2.69858240803538,0.00051354613483555,17.9905493869026,6.66666666666667,32.5,113616300,114059289,"UP","ENSG00000241743"
"ENSG00000261222","ENSG00000261222",2.27459378345783,0.00577307579391807,17.9801222882857,7.90476190476191,29,74599840,74607229,"UP","ENSG00000261222"
"ENSG00000252010","ENSG00000252010",3.19069400542837,1.44500672766804e-05,17.9286615543118,5.61904761904762,35,233275727,233276002,"UP","SCARNA5"
"ENSG00000235385","ENSG00000235385",2.35232757807472,0.00390794905720696,17.5864490360824,7.47619047619048,42.5,13266048,13303452,"UP","LINC02154"
"ENSG00000260719","ENSG00000260719",2.84412718525379,0.000181010270951613,17.4710669951304,6.14285714285714,32.25,29745247,29748299,"UP","ENSG00000260719"
"ENSG00000241657","ENSG00000241657",2.48827191542075,0.00181460369433203,17.4179034079452,7,31.25,142433895,142434394,"UP","TRBV11-2"
"ENSG00000273203","ENSG00000273203",2.43068702851668,0.00257406440614973,17.2463032023326,7.09523809523809,29.25,17067821,17070675,"UP","ENSG00000273203"
"ENSG00000286196","ENSG00000286196",2.39439824519943,0.00311620753119444,17.1028446085674,7.14285714285714,27.5,127754534,127760560,"UP","ENSG00000286196"
"ENSG00000236320","ENSG00000236320",2.93447859127589,9.77936258552471e-05,17.0479232445552,5.80952380952381,30.75,35543985,35560819,"UP","SLFN14"
"ENSG00000179455","ENSG00000179455",2.5292231372491,0.00133864484226802,16.9819267786725,6.71428571428571,35,23565674,23630075,"UP","MKRN3"
"ENSG00000172782","ENSG00000172782",2.78369003124744,0.00024987945590901,16.9672535237939,6.09523809523809,28.25,74877302,74893781,"UP","FADS6"
"ENSG00000264345","ENSG00000264345",4.18764916260318,9.15489925028279e-10,16.9500085152986,4.04761904761905,59.25,24932771,24987919,"UP","LINC01894"
"ENSG00000256427","ENSG00000256427",2.69042178573103,0.000557198172001201,16.9112226531665,6.28571428571429,32.25,9240406,9261050,"UP","ENSG00000256427"
"ENSG00000109272","ENSG00000109272",2.36557477121857,0.00358625020646683,16.7843162338841,7.09523809523809,34.5,73853296,73854483,"UP","PF4V1"
"ENSG00000287736","ENSG00000287736",3.53739115464497,7.29287590409047e-07,16.6762725861834,4.71428571428571,43.5,133054959,133057767,"UP","PTCSC1"
"ENSG00000149435","ENSG00000149435",2.57418892076697,0.00104789607605377,16.5483573477876,6.42857142857143,36.5,23985050,23988779,"UP","GGTLC1"
"ENSG00000248801","ENSG00000248801",2.45449045001732,0.00216856815712293,16.480150164402,6.71428571428571,33,68302246,68331689,"UP","C8orf34-AS1"
"ENSG00000224875","ENSG00000224875",2.83735831344999,0.000200975322168119,16.0783637762166,5.66666666666667,34,42143238,42170301,"UP","ENSG00000224875"
"ENSG00000256948","ENSG00000256948",2.60725994911259,0.000891912188501372,16.0160254016916,6.14285714285714,38,106524,111850,"UP","IQSEC3-AS2"
"ENSG00000189238","ENSG00000189238",2.58175771293564,0.00126327564618011,15.9823096515063,6.19047619047619,30.5,126723412,126749027,"UP","LINC00943"
"ENSG00000211745","ENSG00000211745",2.37573731277695,0.00355708485276026,15.9513791000738,6.71428571428571,29.75,142345421,142345985,"UP","TRBV4-2"
"ENSG00000286696","ENSG00000286696",2.56428220944903,0.00123940615548619,15.8741279632559,6.19047619047619,29,74429445,74431449,"UP","ENSG00000286696"
"ENSG00000254750","ENSG00000254750",2.59604836339944,0.00102502495802154,15.8235328816728,6.09523809523809,27.5,105063345,105071541,"UP","ENSG00000254750"
"ENSG00000269800","ENSG00000269800",2.43316405931326,0.00264915963139354,15.7576339079335,6.47619047619048,28.75,41521043,41521989,"UP","ENSG00000269800"
"ENSG00000283063","ENSG00000283063",2.27798652897394,0.0058942407281744,15.7289546048201,6.90476190476191,26.75,142349152,142349664,"UP","TRBV6-3"
"ENSG00000110203","ENSG00000110203",2.33691884457044,0.00386435518126899,15.5794589638029,6.66666666666667,26.75,72114869,72139892,"UP","FOLR3"
"ENSG00000229140","ENSG00000229140",3.81591499133516,6.59712001320387e-08,15.4453702030233,4.04761904761905,44.25,128634199,129683770,"UP","CCDC26"
"ENSG00000211698","ENSG00000211698",2.45155978098801,0.0023763198907036,15.4098043376389,6.28571428571429,27,38353715,38354517,"UP","TRGV4"
"ENSG00000254887","ENSG00000254887",2.80298454671496,0.000285040798659961,15.3496772796296,5.47619047619048,30.5,42132555,42137099,"UP","ENSG00000254887"
"ENSG00000197880","ENSG00000197880",2.26599003612475,0.00641090241166866,15.3224088157007,6.76190476190476,25,23581495,23640568,"UP","MDS2"
"ENSG00000234750","ENSG00000234750",2.34021660279617,0.00434813112611589,15.2671273610989,6.52380952380952,25.5,12284337,12285185,"UP","RPS2P53"
"ENSG00000228835","ENSG00000228835",3.3712865627515,3.92513924856893e-06,15.2510582600663,4.52380952380952,38.5,32769795,32774413,"UP","ENSG00000228835"
"ENSG00000280011","ENSG00000280011",2.48054917913197,0.00206628747082554,15.2376592432393,6.14285714285714,28.25,44210442,44229512,"UP","ENSG00000280011"
"ENSG00000248362","ENSG00000248362",2.55430817079761,0.0013428815066694,15.2042153023667,5.95238095238095,37.5,147886086,147886878,"UP","ENSG00000248362"
"ENSG00000278771","ENSG00000278771",2.37316193094935,0.00358421193373344,15.1430332736768,6.38095238095238,23.75,49853616,49853914,"UP","RN7SL3"
"ENSG00000228590","ENSG00000228590",4.64161983474704,5.94350412163421e-12,14.5879480520621,3.14285714285714,58.25,60336446,60439828,"UP","MIR4432HG"
"ENSG00000205837","ENSG00000205837",2.66384233716265,0.000748003487997916,14.5877080368431,5.47619047619048,27.75,6728177,6770311,"UP","LINC00487"
"ENSG00000258702","ENSG00000258702",2.80816718966819,0.000282648949953173,14.5757249368492,5.19047619047619,28.75,96592399,96605974,"UP","ENSG00000258702"
"ENSG00000235111","ENSG00000235111",2.80047147255719,0.000285040798659961,14.5357805004159,5.19047619047619,28,49612657,49615716,"UP","ENSG00000235111"
"ENSG00000240143","ENSG00000240143",2.98996783638847,8.85585419677048e-05,14.5227009196012,4.85714285714286,32,129794994,129796963,"UP","ENSG00000240143"
"ENSG00000244681","ENSG00000244681",2.32475566129677,0.00496937688040918,14.5020472204703,6.23809523809524,20.5,95654423,95683193,"UP","ENSG00000244681"
"ENSG00000140955","ENSG00000140955",2.37586373871803,0.00397799603910076,14.4814551693289,6.09523809523809,26.5,84191138,84197168,"UP","ADAD2"
"ENSG00000228863","ENSG00000228863",3.00345059275873,8.27554464515302e-05,14.4451671366015,4.80952380952381,29.75,160670778,160699761,"UP","ENSG00000228863"
"ENSG00000244414","ENSG00000244414",2.24175102863822,0.00752480394250521,14.4112566126743,6.42857142857143,26,196819731,196832189,"UP","CFHR1"
"ENSG00000260953","ENSG00000260953",2.43002399586392,0.00270266944597407,14.3487131184346,5.90476190476191,30.25,29262273,29264479,"UP","ENSG00000260953"
"ENSG00000233665","ENSG00000233665",3.61860021292746,5.52013425799481e-07,14.3020865558561,3.95238095238095,38.5,48976554,48993046,"UP","ENSG00000233665"
"ENSG00000149124","ENSG00000149124",2.32302710792569,0.00422816988870211,14.2700236629721,6.14285714285714,26.25,58640426,58731974,"UP","GLYAT"
"ENSG00000255398","ENSG00000255398",2.4155279721821,0.00291532062177595,14.2631175500277,5.90476190476191,22.5,122714756,122716811,"UP","HCAR3"
"ENSG00000270379","ENSG00000270379",2.39240913429009,0.00371098400853454,14.1266063167606,5.90476190476191,25.25,35854946,35868891,"UP","HEATR9"
"ENSG00000271680","ENSG00000271680",4.09718615444629,4.68560643116588e-09,14.047495386673,3.42857142857143,44.75,206905928,206906393,"UP","ENSG00000271680"
"ENSG00000284690","ENSG00000284690",2.24646677169452,0.00689361007233775,14.0136736710468,6.23809523809524,23,74560701,74567343,"UP","CD300H"
"ENSG00000286805","ENSG00000286805",2.85612970161973,0.000181441122209268,14.0086361555635,4.90476190476191,36.5,161435098,161446016,"UP","ENSG00000286805"
"ENSG00000250850","ENSG00000250850",4.11405017352193,3.94858356091873e-09,13.7135005784064,3.33333333333333,46.25,37002697,37008040,"UP","ENSG00000250850"
"ENSG00000237927","ENSG00000237927",2.19760150296598,0.00855489163508894,13.708847470883,6.23809523809524,22.5,159586955,159589169,"UP","ENSG00000237927"
"ENSG00000273079","ENSG00000273079",2.89174439842873,0.000171911564420642,13.6325093068783,4.71428571428571,30.75,13437942,13982002,"UP","GRIN2B"
"ENSG00000261416","ENSG00000261416",3.20133078069149,1.91293239009565e-05,13.5675447372163,4.23809523809524,29.5,30183505,30184957,"UP","ENSG00000261416"
"ENSG00000146166","ENSG00000146166",2.38221803399978,0.00367938755988121,13.4992355259987,5.66666666666667,25.75,63275951,63319983,"UP","LGSN"
"ENSG00000275791","ENSG00000275791",2.92499563413646,0.000118651917848163,13.3714086131952,4.57142857142857,30.5,142544212,142544685,"UP","TRBV10-3"
"ENSG00000288253","ENSG00000288253",2.54044983517015,0.00156786305175914,13.3071181842246,5.23809523809524,25.25,52453580,52458836,"UP","ENSG00000288253"
"ENSG00000225101","ENSG00000225101",2.28442151765473,0.00640670496195036,13.2714011978037,5.80952380952381,25.75,4393783,4476361,"UP","OR52K3P"
"ENSG00000226571","ENSG00000226571",2.8974118674686,0.00015913328396478,13.2453113941422,4.57142857142857,24.75,139271362,139667284,"UP","ENSG00000226571"
"ENSG00000258539","ENSG00000258539",2.27925207434018,0.00682645379000177,13.2413691937858,5.80952380952381,21.5,124617080,124791727,"UP","ENSG00000258539"
"ENSG00000229106","ENSG00000229106",4.32780681984832,2.7226865675252e-10,13.1895064985854,3.04761904761905,46.75,23901471,23902737,"UP","ENSG00000229106"
"ENSG00000211779","ENSG00000211779",2.3005224371256,0.00577307579391807,13.1458424978606,5.71428571428571,21.5,21749178,21749705,"UP","TRAV5"
"ENSG00000284309","ENSG00000284309",2.45257223728481,0.00241007470341812,12.9635961113626,5.28571428571429,32.75,26046665,26049099,"UP","ENSG00000284309"
"ENSG00000253988","ENSG00000253988",2.31910953295084,0.00511706040381513,12.9207531121547,5.57142857142857,23,138063268,138073240,"UP","ENSG00000253988"
"ENSG00000211699","ENSG00000211699",2.29317276672262,0.00587757344067922,12.8854469749176,5.61904761904762,23,38358512,38359162,"UP","TRGV3"
"ENSG00000213876","ENSG00000213876",2.41249507726174,0.00291737505406298,12.8666404120626,5.33333333333333,27.25,7140930,7141592,"UP","RPL7AP64"
"ENSG00000176160","ENSG00000176160",2.24690335861553,0.00785738322080081,12.8394477635173,5.71428571428571,21,58420167,58488408,"UP","HSF5"
"ENSG00000164796","ENSG00000164796",2.20879830304826,0.00985030970589477,12.8320663319946,5.80952380952381,20.5,112222928,113436939,"UP","CSMD3"
"ENSG00000004939","ENSG00000004939",2.48017033809679,0.00225601950574107,12.7551617387835,5.14285714285714,27,44248390,44268141,"UP","SLC4A1"
"ENSG00000239219","ENSG00000239219",2.4725960445184,0.00231242992187269,12.7162082289518,5.14285714285714,21,169939353,169966734,"UP","FHL1P1"
"ENSG00000211804","ENSG00000211804",3.20164738196256,1.85882403937141e-05,12.6541301287092,3.95238095238095,25.75,22096032,22096619,"UP","TRDV1"
"ENSG00000224796","ENSG00000224796",2.73840871528378,0.000470759652971268,12.6488402563108,4.61904761904762,24.75,33079451,33079860,"UP","RPL32P1"
"ENSG00000121570","ENSG00000121570",2.25107964539861,0.00794702474946371,12.5417294529351,5.57142857142857,20.25,109326141,109337572,"UP","DPPA4"
"ENSG00000179428","ENSG00000179428",2.8414586931358,0.000236124416141722,12.4482952270711,4.38095238095238,25,22725395,22727620,"UP","IL6-AS1"
"ENSG00000189068","ENSG00000189068",3.24754030400546,1.08525556601809e-05,12.371582110497,3.80952380952381,35.75,54040825,54063953,"UP","VSTM1"
"ENSG00000154493","ENSG00000154493",2.4220736939445,0.00270173040134453,12.3410421548601,5.09523809523809,30.75,126424997,126798708,"UP","C10orf90"
"ENSG00000160505","ENSG00000160505",4.81898721622685,9.94928002208585e-13,12.1622058314297,2.52380952380952,55,55836540,55881855,"UP","NLRP4"
"ENSG00000261471","ENSG00000261471",3.19204643685055,2.55814743886727e-05,12.1601769022878,3.80952380952381,27.75,84594393,84596826,"UP","ENSG00000261471"
"ENSG00000130427","ENSG00000130427",2.30923691162394,0.00591267469874982,12.0960028704111,5.23809523809524,23.75,100720468,100723700,"UP","EPO"
"ENSG00000225411","ENSG00000225411",2.24378898867375,0.00833675468234841,12.0737217009587,5.38095238095238,20.25,63802144,63814159,"UP","ENSG00000225411"
"ENSG00000241560","ENSG00000241560",2.80790632001525,0.000336826733706197,11.9001744038741,4.23809523809524,24.5,114351771,114388978,"UP","ZBTB20-AS1"
"ENSG00000267046","ENSG00000267046",2.59243605538953,0.00122521486988649,11.8511362532093,4.57142857142857,19.25,35490009,35491238,"UP","ENSG00000267046"
"ENSG00000266389","ENSG00000266389",2.41131351816303,0.00343249818221302,11.8269186843234,4.90476190476191,24.5,8965896,8967070,"UP","ENSG00000266389"
"ENSG00000253214","ENSG00000253214",2.64323745953015,0.000884174938637621,11.7057658922049,4.42857142857143,24.5,81149107,81165266,"UP","LOC105375924"
"ENSG00000105501","ENSG00000105501",2.91288205966599,0.000161816331494479,11.6515282386639,4,25,51611927,51645545,"UP","ENSG00000105501"
"ENSG00000250274","ENSG00000250274",2.25985969727419,0.00714409754569583,11.6221355859815,5.14285714285714,23,170308701,170312806,"UP","LOC100128059"
"ENSG00000168671","ENSG00000168671",2.29956425648764,0.00590775240089881,11.6073243422709,5.04761904761905,18.75,36035021,36071358,"UP","UGT3A2"
"ENSG00000131126","ENSG00000131126",4.01277324651839,1.66246911962966e-08,11.465066418624,2.85714285714286,36.75,43401496,43418597,"UP","TEX101"
"ENSG00000262319","ENSG00000262319",3.45851127079059,2.94460805184902e-06,11.1989888768457,3.23809523809524,26.5,19141017,19143689,"UP","ENSG00000262319"
"ENSG00000287097","ENSG00000287097",2.78666405332356,0.00039222781607438,11.1466562132942,4,21.5,114822994,115002280,"UP","ENSG00000287097"
"ENSG00000230138","ENSG00000230138",3.20656019956433,2.52343487998487e-05,11.146614027057,3.47619047619048,25.5,53366656,53368245,"UP","ENSG00000230138"
"ENSG00000235304","ENSG00000235304",2.38663458370903,0.00437575372275628,11.1376280573088,4.66666666666667,20.75,39304956,39327362,"UP","LINC01281"
"ENSG00000211696","ENSG00000211696",2.58808025603862,0.00132364929141847,11.0917725258798,4.28571428571429,19.75,38330343,38330935,"UP","TRGV8"
"ENSG00000228789","ENSG00000228789",3.19031297733875,2.88897813179579e-05,10.7862962567167,3.38095238095238,26,31053450,31059890,"UP","HCG22"
"ENSG00000196593","ENSG00000196593",2.50827878000596,0.0023366506553149,10.7497662000255,4.28571428571429,19.75,23939557,23946782,"UP","ENSG00000196593"
